zip,city,county,pop
27610,Raleigh,Wake,79924
28269,Charlotte,Mecklenburg,77248
28277,Charlotte,Mecklenburg,72132
28027,Concord,Cabarrus,68716
27587,Wake Forest,Wake,68491
27406,Greensboro,Guilford,63199
28215,Charlotte,Mecklenburg,62543
28078,Huntersville,Mecklenburg,61043
28173,Waxhaw,Union,59559
27858,Greenville,Pitt,59182
28314,Fayetteville,Cumberland,58827
28227,Charlotte,Mecklenburg,57336
27834,Greenville,Pitt,57258
27519,Cary,Wake,56482
27410,Greensboro,Guilford,55707
27284,Kernersville,Forsyth,55489
27616,Raleigh,Wake,55128
28655,Morganton,Burke,55009
27603,Raleigh,Wake,54457
28025,Concord,Cabarrus,54425
27713,Durham,Durham,54348
28110,Monroe,Union,53733
27703,Durham,Durham,53733
27407,Greensboro,Guilford,51900
27265,High Point,Guilford,51477
27707,Durham,Durham,51414
28601,Hickory,Catawba,51401
27529,Garner,Wake,50683
28216,Charlotte,Mecklenburg,49849
27705,Durham,Durham,49508
28540,Jacksonville,Onslow,49144
27405,Greensboro,Guilford,48879
28205,Charlotte,Mecklenburg,48798
27106,Winston Salem,Forsyth,48709
27526,Fuquay Varina,Wake,48581
27604,Raleigh,Wake,48494
28210,Charlotte,Mecklenburg,48333
27107,Winston Salem,Forsyth,48000
28212,Charlotte,Mecklenburg,47903
27606,Raleigh,Wake,47478
28546,Jacksonville,Onslow,46435
28645,Lenoir,Caldwell,46232
28105,Matthews,Mecklenburg,46180
27360,Thomasville,Davidson,45974
27513,Cary,Wake,45542
28376,Raeford,Hoke,44967
27615,Raleigh,Wake,43950
28806,Asheville,Buncombe,43597
28262,Charlotte,Mecklenburg,43209
28213,Charlotte,Mecklenburg,43099
27516,Chapel Hill,Orange,43036
28306,Fayetteville,Cumberland,42973
28214,Charlotte,Mecklenburg,42412
27520,Clayton,Johnston,42387
27215,Burlington,Alamance,42331
27613,Raleigh,Wake,42324
28403,Wilmington,New Hanover,41525
27502,Apex,Wake,41455
28273,Charlotte,Mecklenburg,41170
28117,Mooresville,Iredell,40855
28092,Lincolnton,Lincoln,40517
27127,Winston Salem,Forsyth,40511
27704,Durham,Durham,40392
28208,Charlotte,Mecklenburg,40284
27105,Winston Salem,Forsyth,40134
27330,Sanford,Lee,40121
